NationalDatabaseNumber,Species,Region,Country,City-fromstrandingstable,County,State,BodyofWater,LocalityDetail,Latitude,ConversionLAT,LatitudeUnits,LatitudeActualEstimate,Longitude,ConversionLONG,LongitudeUnits,LongitudeActualEstimate,Howlatlongdetermined,ObservationDate,SickFlag,InjuredFlag,OutofHabitatFlag,DeemedHealthyReleasableFlag,AbandonedOrphanedFlag,InaccesibleFlag,LocationHazardoustoAnimal,LocationHazardousPublic,UnknownCBDFlag,ConditionOtherFlag,ConditionOtherDescription,EntangledFlag,Sex,AgeClass
NE-2005-1040781,vitulina,NE,United States,Ventnor,Atlantic,NJ,Atlantic Ocean,Vassar Square and the beach.,39.3428,39.3428,decimal degrees,estimate,-74.4648,-74.4648,decimal degrees,estimate,GPS,2005-JAN-08,N,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1040515,delphis,NE,United States,Beach Haven Terrace LBI,Ocean,NJ,Atlantic Ocean,"129th Street, wedged in the rocks of the jetty.",393506.2,39.58505556,deg/min/sec,actual,741308.9,-74.21913889,deg/min/sec,actual,GPS,2004-DEC-25,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2004-1040809,delphis,NE,United States,Cape May City,Cape May,NJ,Atlantic Ocean,Cape May State Park between ocean and cape,385612.2,38.93672222,deg/min/sec,,745812.1,-74.97002778,deg/min/sec,,,2004-APR-17,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,ADULT
NE-2004-1041475,delphis,NE,United States,Seaside Park,Ocean,NJ,Atlantic Ocean,20th Avenue and the beach,395433,39.90916667,deg/min/sec,,740439.4,-74.07761111,deg/min/sec,,,2004-JUN-02,N,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT
NE-2004-1040517,vitulina,NE,United States,Brigantine,Atlantic,NJ,Atlantic Ocean,"North end beach, approx. 3/4 mile North of the flagpole at 14th St and East Brigantine Ave, in the Wildlife Preserve area.",392524.2,39.42338889,deg/min/sec,actual,742042.7,-74.34519444,deg/min/sec,actual,GPS,2004-DEC-26,Y,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1040811,groenlandica,NE,United States,Long Beach Island,Ocean,NJ,Atlantic Ocean,"94th St. beach, Beach Haven.",39368.9,39.60247222,deg/min/sec,,741223.6,-74.20655556,deg/min/sec,,,2004-APR-17,Y,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2004-1040531,delphis,NE,United States,Long Branch,Monmouth,NJ,Atlantic Ocean,805 Ocean Avenue and the beach.,401637.8,40.27716667,deg/min/sec,actual,735858,-73.98277778,deg/min/sec,actual,GPS,2004-DEC-29,Y,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2004-1040839,groenlandica,NE,United States,Sayreville,Middlesex,NJ,Atlantic Ocean,Middlesex County Park,40295.9,40.48497222,deg/min/sec,,741938.3,-74.32730556,deg/min/sec,,,2004-APR-18,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2004-1040841,delphis,NE,United States,Lower Township,Cape May,NJ,Atlantic Ocean,615 Sunset Blvd. and beach,38555.2,38.91811111,deg/min/sec,,745633.5,-74.94263889,deg/min/sec,,,2004-APR-18,N,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT
NE-2004-1040845,grypus,NE,United States,Brigantine,Atlantic,NJ,Atlantic Ocean,"Between 11th and 12th streets North, on the beach",39243.7,39.40102778,deg/min/sec,,74228.3,-74.36897222,deg/min/sec,,,2004-APR-19,N,Y,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1040851,groenlandica,NE,United States,Great Bay,Ocean,NJ,Atlantic Ocean,located on seven islands,39311.6,39.51711111,deg/min/sec,,742040.5,-74.34458333,deg/min/sec,,,2004-APR-22,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,ADULT
NE-2004-1040855,acutus,NE,United States,Beach Haven,Ocean,NJ,Atlantic Ocean,Center St. beach,393342.1,39.56169444,deg/min/sec,,74148.2,-74.23561111,deg/min/sec,,,2004-APR-25,N,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT
NE-2004-1040857,delphis,NE,United States,Avalon,Cape May,NJ,Atlantic Ocean,38th St. beach,390520.1,39.08891667,deg/min/sec,,744322.1,-74.72280556,deg/min/sec,,,2004-APR-26,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2004-1040861,groenlandica,NE,United States,Belmar,Monmouth,NJ,Atlantic Ocean,"""L"" St. beach",401039.7,40.17769444,deg/min/sec,,740227.4,-74.04094444,deg/min/sec,,,2004-APR-27,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,YEARLING
NE-2004-1041943,,NE,United States,Strathmere,Cape May,NJ,Atlantic Ocean,Sumner Road and the beach,391143.7,39.19547222,deg/min/sec,actual,743921.3,-74.65591667,deg/min/sec,actual,,2004-JUL-04,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,UNKNOWN
NE-2004-1041959,delphis,NE,United States,Brigantine,Atlantic,NJ,Atlantic Ocean,Club Drive Beach,392306.6,39.38516667,deg/min/sec,actual,742342.8,-74.39522222,deg/min/sec,actual,,2004-JUL-12,Y,N,N,N,N,N,N,N,N,N,,,MALE,UNKNOWN
NE-2004-1041961,truncatus,NE,United States,Cape May,Cape May,NJ,Atlantic Ocean,"Cape May State Park, Beach and 3rd Avenues, the southernmost tip of the cove.",385544.9,38.92913889,deg/min/sec,actual,745545.7,-74.92936111,deg/min/sec,actual,,2004-JUL-15,N,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2004-1041963,truncatus,NE,United States,Barnegat Light,Ocean,NJ,Atlantic Ocean,23rd Street Beach,394441,39.74472222,deg/min/sec,actual,740639,-74.11083333,deg/min/sec,actual,,2004-JUL-28,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2004-1041999,truncatus,NE,United States,Brigantine,Atlantic,NJ,Atlantic Ocean,"North end of Brigantine beach, approximately 100 yards north of sanctuary area.",39.43077,39.43077,decimal degrees,actual,74.33954,-74.33954,decimal degrees,actual,,2004-JUL-02,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2004-1042003,,NE,United States,Sea Isle City,Cape May,NJ,Atlantic Ocean,36th Street and the beach,391571.3,39.26980556,deg/min/sec,actual,743882.9,-74.65636111,deg/min/sec,actual,,2004-JUL-02,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,UNKNOWN
NE-2004-1042035,truncatus,NE,United States,Barnegat Light,Ocean,NJ,Atlantic Ocean,18th Street and the ocean.,394452.5,39.74791667,deg/min/sec,,740630.4,-74.10844444,deg/min/sec,,,2004-AUG-29,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,ADULT
NE-2005-1042379,vitulina,NE,United States,Milton,Sussex,DE,Broadkill River,Broadkill Marina Dock,38.7948,38.7948,decimal degrees,estimate,-75.2523,-75.2523,decimal degrees,estimate,GPS,2005-JAN-10,N,N,N,Y,N,Y,N,N,N,N,,,UNKNOWN,
NE-2005-1042381,vitulina,NE,United States,Milton,Sussex,DE,Broadkill River,Steamboat Landing,38.8003,38.8003,decimal degrees,estimate,-75.2432,-75.2432,decimal degrees,estimate,GPS,2005-JAN-11,N,N,N,Y,N,Y,N,N,N,N,,,UNKNOWN,UNKNOWN
NE-2005-1042383,vitulina,NE,United States,Lewes,Sussex,DE,Lewes/Rehoboth Canal,Delaware River Yacht Basin; Floating Dock,38.7875,38.7875,decimal degrees,estimate,-75.1615,-75.1615,decimal degrees,estimate,GPS,2005-JAN-12,N,N,N,Y,N,Y,N,N,N,N,,,UNKNOWN,UNKNOWN
NE-2005-1042385,vitulina,NE,United States,Lewes,Sussex,DE,Atlantic Ocean,Cape Henlopen State Park Oceanside of Point,38.8275,38.8275,decimal degrees,estimate,-75.2097,-75.2097,decimal degrees,estimate,GPS,2005-FEB-04,N,N,N,Y,N,N,N,N,N,N,,,UNKNOWN,UNKNOWN
NE-2005-1042387,vitulina,NE,United States,Lewes,Sussex,DE,Atlantic Ocean,Cape Henlopen; Ocean side of point,38.8275,38.8275,decimal degrees,estimate,-75.2097,-75.2097,decimal degrees,estimate,GPS,2005-FEB-06,Y,N,N,N,N,N,N,N,N,N,,,FEMALE,PUP/CALF
NE-2005-1042391,groenlandica,NE,United States,Milton,Sussex,DE,Delaware Bay,South Broadkill Beach,38.7875,38.7875,decimal degrees,estimate,-75.1615,-75.1615,decimal degrees,estimate,GPS,2005-FEB-06,Y,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1042393,groenlandica,NE,United States,Fenwick Island,Sussex,DE,Atlantic Ocean,Fenwick; Lewes St.,38.4675,38.4675,decimal degrees,estimate,-75.0493,-75.0493,decimal degrees,estimate,GPS,2005-FEB-18,N,N,N,N,N,N,N,N,N,Y,underweight,,UNKNOWN,YEARLING
NE-2005-1042395,groenlandica,NE,United States,Milford,Kent,DE,Cedar Creek,North Slaughter Beach; Marsh,38.9,38.9,decimal degrees,estimate,-75.3,-75.3,decimal degrees,estimate,Internet,2005-FEB-18,N,N,N,Y,N,N,N,N,N,N,,,UNKNOWN,ADULT
NE-2004-1041741,truncatus,NE,United States,Strathmere Beach,Cape May,NJ,Atlantic Ocean,"200 feet north of 1900 Landis Avenue, on the beach",391014,39.17055556,deg/min/sec,,744043.7,-74.67880556,deg/min/sec,,,2004-JUN-14,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2005-1042397,groenlandica,NE,United States,Fenwick,Sussex,DE,Atlantic Ocean,Across from Sea Towne at state on-ramp 30 feet from waters edge,38.4814,38.4814,decimal degrees,estimate,-75.0503,-75.0503,decimal degrees,estimate,GPS,2005-FEB-19,Y,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1041749,truncatus,NE,United States,Brigantine,Atlantic,NJ,Atlantic Ocean,7th street North and the beach.,392437.8,39.4105,deg/min/sec,,742129.2,-74.35811111,deg/min/sec,,,2004-JUN-15,N,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2004-1042135,truncatus,NE,United States,Stone Harbor,Cape May,NJ,Atlantic Ocean,107th St. beach,390241,39.04472222,deg/min/sec,,744539,-74.76083333,deg/min/sec,,,2004-AUG-18,N,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2004-1042133,cristata,NE,United States,Atlantic City,Atlantic,NJ,Atlantic Ocean,"On the beach behind the Tropicana Casino, between Morris and Brighton Avenues.",393250.7,39.54741667,deg/min/sec,,741458.2,-74.2495,deg/min/sec,,,2004-AUG-02,N,N,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2004-1041819,truncatus,NE,United States,Ocean City,Cape May,NJ,Atlantic Ocean,"Approximately 200 Beach Boulevard, on the beach.",392860.7,39.48352778,deg/min/sec,,742860.7,-74.48352778,deg/min/sec,,,2004-JUN-27,N,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1043771,grypus,NE,United States,Cape May Point,Cape May,NJ,Atlantic Ocean,"Higbee Beach, approx. 1 mile into natural area.",38.9414,38.9414,decimal degrees,estimate,-74.9706,-74.9706,decimal degrees,estimate,,2005-FEB-25,N,N,Y,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1043773,grypus,NE,United States,Longport,Atlantic,NJ,Atlantic Ocean,"Atlantic Avenue and 11th Street beach, on the jetty.",39.3036,39.3036,decimal degrees,estimate,-74.5381,-74.5381,decimal degrees,estimate,Internet,2005-FEB-14,N,N,Y,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1043775,grypus,NE,United States,Point Pleasant,Ocean,NJ,Atlantic Ocean,Elizabeth Avenue and the beach.,40.0808,40.0808,decimal degrees,estimate,-74.0392,-74.0392,decimal degrees,estimate,Internet,2005-MAR-14,N,N,Y,N,N,N,N,N,N,N,,,FEMALE,
NE-2005-1044075,vitulina,NE,United States,Sea Bright,Monmouth,NJ,Atlantic Ocean,1099 Ocean Avenue beach.,40.3611,40.3611,decimal degrees,estimate,-73.9711,-73.9711,decimal degrees,estimate,Internet,2005-FEB-01,Y,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1044097,delphis,NE,United States,The Villas,Cape May,NJ,Delaware Bay,Broadway Avenue and the beach.,39.0114,39.0114,decimal degrees,estimate,-74.9508,-74.9508,decimal degrees,estimate,Internet,2005-FEB-06,N,N,N,N,N,N,N,N,N,N,,,MALE,SUBADULT
NE-2005-1044101,phocoena,NE,United States,Lavalette,Ocean,NJ,Atlantic Ocean,Brown Avenue and the beach.,39.9706,39.9706,decimal degrees,estimate,-74.0652,-74.0652,decimal degrees,estimate,Internet,2005-APR-29,N,N,N,N,N,N,N,N,N,N,,,MALE,SUBADULT
NE-2005-1044105,groenlandica,NE,United States,Manasquan,Monmouth,NJ,Atlantic Ocean,412 1st Avenue and the beach,39.3883,39.3883,decimal degrees,estimate,-74.3883,-74.3883,decimal degrees,estimate,Internet,2005-FEB-07,N,N,N,N,N,N,N,Y,N,N,,,FEMALE,YEARLING
NE-2005-1044107,groenlandica,NE,United States,Cape May,Cape May,NJ,Atlantic Ocean,"USCG Training Center, just south of inlet jetty.",38.9411,38.9411,decimal degrees,estimate,-74.8736,-74.8736,decimal degrees,estimate,Internet,2005-FEB-08,N,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2005-1044109,groenlandica,NE,United States,Wildwood Crest,Cape May,NJ,Atlantic Ocean,Memphis Avenue and the beach.,38.9569,38.9569,decimal degrees,estimate,-74.8483,-74.8483,decimal degrees,estimate,Internet,2005-FEB-09,Y,Y,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2005-1044111,vitulina,NE,United States,Ocean City,Cape May,NJ,Atlantic Ocean,"234 East Atlantic Blvd and the beach, at the base of the jetty.",39.2869,39.2869,decimal degrees,estimate,-74.5533,-74.5533,decimal degrees,estimate,Internet,2005-FEB-10,Y,Y,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2004-1043555,delphis,NE,United States,DE Seashore State Park,Sussex,DE,Atlantic Ocean,beach 3/4 of mile south of Conquest Road,3838.704,38.64506667,decimal minutes,actual,7503.95,-75.06583333,decimal minutes,actual,,2004-FEB-19,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,ADULT
NE-2004-1043557,delphis,NE,United States,Milford,Sussex,DE,Delaware Bay,Slaughter Beach,3840.03,38.66716667,decimal minutes,actual,7504.06,-75.06766667,decimal minutes,actual,,2004-FEB-20,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2004-1043567,phocoena,NE,United States,Bethany,Sussex,DE,Atlantic Ocean,South of Indian River inlet West.,3836.26,38.60433333,decimal minutes,actual,7503.64,-75.06066667,decimal minutes,actual,,2004-MAR-27,N,N,N,N,N,N,N,N,N,N,,,FEMALE,SUBADULT
NE-2004-1043573,truncatus,NE,United States,Lewes,Sussex,DE,Atlantic Ocean,Cape Henlopen South of Herring Point,38.7693,38.7693,decimal degrees,estimate,-75.102,-75.102,decimal degrees,estimate,Internet,2004-MAY-22,N,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT
NE-2005-1043857,grypus,NE,United States,Seaside Park,Ocean,NJ,Atlantic Ocean,"Island Beach State Park, approx. 1 mile south of gatehouse.",39.8928,39.8928,decimal degrees,estimate,-74.0797,-74.0797,decimal degrees,estimate,Internet,2005-FEB-13,N,N,N,N,N,N,N,N,N,Y,,,FEMALE,PUP/CALF
NE-2005-1043859,grypus,NE,United States,Brigantine,Atlantic,NJ,Atlantic Ocean,"Natural area, on the south end jetty, Absecon Inlet.",39.3736,39.3736,decimal degrees,estimate,-74.4072,-74.4072,decimal degrees,estimate,Internet,2005-MAR-05,Y,N,Y,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1043861,grypus,NE,United States,Seaside Park,Ocean,NJ,Atlantic Ocean,"Island Beach State Park, Barnegat Inlet jetty and the beach.",39.7797,39.7797,decimal degrees,estimate,-74.0947,-74.0947,decimal degrees,estimate,Internet,2005-MAR-09,N,N,Y,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1043863,grypus,NE,United States,Belmar,Monmouth,NJ,Atlantic Ocean,1st Avenue and the beach.,40.1861,40.1861,decimal degrees,estimate,-74.0081,-74.0081,decimal degrees,estimate,Internet,2005-MAR-12,N,N,Y,N,N,N,N,N,N,N,,,FEMALE,PUP/CALF
NE-2005-1043865,grypus,NE,United States,Spring Lake,Monmouth,NJ,Atlantic Ocean,Under the Salem Avenue boardwalk.,40.14306,40.14306,decimal degrees,estimate,-74.0233,-74.0233,decimal degrees,estimate,Internet,2005-MAR-15,N,N,Y,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1043867,grypus,NE,United States,Atlantic City,Atlantic,NJ,Atlantic Ocean,"Maine and Atlantic Avenues, at the base of the seawall, in the rocks at incoming high tide.",392208,39.36888889,deg/min/sec,actual,742441,-74.41138889,deg/min/sec,actual,Internet,2005-MAR-26,N,Y,Y,N,N,N,N,N,N,N,,,FEMALE,
NE-2005-1043869,grypus,NE,United States,Bradley Beach,Monmouth,NJ,Atlantic Ocean,4th Street and the beach.,40.1994,40.1994,decimal degrees,estimate,-74.0069,-74.0069,decimal degrees,estimate,Internet,2005-MAR-30,Y,N,Y,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2004-1043561,groenlandica,NE,United States,Fenwick Island,Sussex,DE,Atlantic Ocean,"North Walkway Fenwick Island, Deleware Seashore State Park.",3828.336,38.47226667,decimal minutes,actual,7502.998,-75.04996667,decimal minutes,actual,,2004-MAR-01,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2004-1043605,cristata,NE,United States,Lewes,Sussex,DE,Delaware Bay,Bayside of Point; CHSD.,3847.85,38.7975,decimal minutes,actual,7505.61,-75.0935,decimal minutes,actual,,2004-SEP-10,Y,N,N,N,N,N,N,N,N,N,,,UNKNOWN,PUP/CALF
NE-2005-1043871,grypus,NE,United States,Beach Haven LBI,Ocean,NJ,Atlantic Ocean,Marine Street and the beach.,39.5585,39.5585,decimal degrees,estimate,-74.2388,-74.2388,decimal degrees,estimate,Internet,2005-APR-04,Y,N,Y,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1043873,grypus,NE,United States,North Wildwood,Cape May,NJ,Atlantic Ocean,"24th Street beach, in the dunes.",38.9908,38.9908,decimal degrees,estimate,-74.8011,-74.8011,decimal degrees,estimate,Internet,2005-MAR-20,Y,N,Y,N,N,N,N,N,N,N,,,FEMALE,PUP/CALF
NE-2005-1043875,grypus,NE,United States,Beach Haven LBI,Ocean,NJ,Atlantic Ocean,126th Street and the beach.,39.5864,39.5864,decimal degrees,estimate,-74.2178,-74.2178,decimal degrees,estimate,Internet,2005-MAR-13,Y,N,Y,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1043881,grypus,NE,United States,Cape May,Cape May,NJ,Cape May Harbor,"Wilmington Avenue beach, near USCG Cape May Training Base.",38.9467,38.9467,decimal degrees,estimate,-74.8936,-74.8936,decimal degrees,estimate,Internet,2005-APR-20,N,Y,Y,N,N,N,N,N,N,N,,,MALE,
NE-2005-1043883,grypus,NE,United States,Ventnor,Atlantic,NJ,Atlantic Ocean,Austin Avenue and the beach.,39.3417,39.3417,decimal degrees,estimate,-74.4656,-74.4656,decimal degrees,estimate,Internet,2005-APR-09,Y,N,Y,N,N,N,N,N,N,N,,,MALE,
NE-2005-1043889,grypus,NE,United States,Atlantic City,Atlantic,NJ,Atlantic Ocean,"Maine and Atlantic Avenues (in front of Flagship Condos), at the base of the seawall, near the 2nd jetty at the mouth of the Absecon Inlet.",39.3689,39.3689,decimal degrees,estimate,-74.4111,-74.4111,decimal degrees,estimate,Internet,2005-APR-10,N,N,Y,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1043891,grypus,NE,United States,Harvey Cedars LBI,Ocean,NJ,Atlantic Ocean,East Cape May Avenue and the beach.,39.69,39.69,decimal degrees,estimate,-74.1414,-74.1414,decimal degrees,estimate,Internet,2005-APR-11,N,N,Y,N,N,N,N,N,N,N,,,MALE,
NE-2005-1043893,grypus,NE,United States,Atlantic City,Atlantic,NJ,Atlantic Ocean,Texas Avenue and the beach.,39.3525,39.3525,decimal degrees,estimate,-74.4406,-74.4406,decimal degrees,estimate,Internet,2005-APR-13,N,Y,Y,N,N,N,N,N,N,N,,,FEMALE,PUP/CALF
NE-2005-1043895,grypus,NE,United States,Beach Haven Gardens LBI,Ocean,NJ,Atlantic Ocean,"30th Street and the beach, in the dunes.",39.6353,39.6353,decimal degrees,estimate,-74.1828,-74.1828,decimal degrees,estimate,Internet,2005-APR-17,Y,N,Y,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1043897,grypus,NE,United States,Brant Beach LBI,Ocean,NJ,Atlantic Ocean,59th Street and the beach.,39.6211,39.6211,decimal degrees,estimate,-74.1939,-74.1939,decimal degrees,estimate,Internet,2005-APR-09,Y,Y,Y,N,N,N,N,N,N,N,,,FEMALE,
NE-2005-1043645,phocoena,NE,United States,Strathmere,Cape May,NJ,Corson's Inlet,"Corsons Inlet State Park, near intersections of Commonwealth and Seaview Aves and the beach.",39.2028,39.2028,decimal degrees,estimate,-74.6513,-74.6513,decimal degrees,estimate,Internet,2005-FEB-27,N,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1043649,phocoena,NE,United States,Brigantine,Atlantic,NJ,Atlantic Ocean,7th Street South and the beach.,39.4031,39.4031,decimal degrees,estimate,-74.3656,-74.3656,decimal degrees,estimate,Internet,2005-MAR-15,N,N,N,N,N,N,N,N,N,N,,,FEMALE,UNKNOWN
NE-2005-1043653,phocoena,NE,United States,Sea Isle City,Cape May,NJ,Atlantic Ocean,47th Street and the beach.,39.1506,39.1506,decimal degrees,estimate,-74.6925,-74.6925,decimal degrees,estimate,Internet,2005-MAR-09,N,N,N,N,N,N,N,N,N,N,,,MALE,UNKNOWN
NE-2005-1043659,phocoena,NE,United States,Villas,Cape May,NJ,Delaware Bay,Miami Avenue and the beach.,39.0372,39.0372,decimal degrees,estimate,-74.9367,-74.9367,decimal degrees,estimate,Internet,2005-MAR-24,N,N,N,N,N,N,N,N,N,N,,,MALE,UNKNOWN
NE-2005-1043661,acutus,NE,United States,Longport,Atlantic,NJ,Atlantic Ocean,Between 25th and 26th Streets and the beach.,39.0469,39.0469,decimal degrees,estimate,-74.7597,-74.7597,decimal degrees,estimate,Internet,2005-MAR-31,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT
NE-2005-1043663,phocoena,NE,United States,Stone Harbor,Cape May,NJ,Atlantic Ocean,104th Street and the beach.,39.0469,39.0469,decimal degrees,estimate,-74.7597,-74.7597,decimal degrees,estimate,Internet,2005-APR-02,N,N,N,N,N,N,N,N,N,N,,,MALE,UNKNOWN
NE-2005-1043671,vitulina,NE,United States,Sandy Hook,Monmouth,NJ,Atlantic Ocean,"Gateway National Park, Sandy Hook Unit, Critical Zone Beach (approx. 1 mile north of Park entrance).",40.4247,40.4247,decimal degrees,estimate,-73.9814,-73.9814,decimal degrees,estimate,Internet,2005-MAR-29,N,N,N,N,N,N,N,N,N,N,,,MALE,
NE-2005-1043705,grypus,NE,United States,Manasquan,Monmouth,NJ,Accabonic Harbor,Intersection of Main Street and Ocean Avenue and the beach.,400640,40.11111111,deg/min/sec,actual,740158,-74.03277778,deg/min/sec,actual,Internet,2005-FEB-03,N,N,Y,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1044025,grypus,NE,United States,Ocean City,Cape May,NJ,Atlantic Ocean,57th Street and the beach.,39.2214,39.2214,decimal degrees,estimate,-74.6358,-74.6358,decimal degrees,estimate,Internet,2005-APR-26,Y,Y,Y,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1043731,grypus,NE,United States,Atlantic City,Atlantic,NJ,Atlantic Ocean,"Raleigh Avenue and the beach, in the dunes near the boardwalk.",39.3456,39.3456,decimal degrees,estimate,-74.4589,-74.4589,decimal degrees,estimate,Internet,2005-FEB-06,N,N,Y,N,N,N,N,N,N,N,,,FEMALE,PUP/CALF
NE-2005-1043735,grypus,NE,United States,Harvey Cedars LBI,Ocean,NJ,Atlantic Ocean,75th Street and the beach.,39.7033,39.7033,decimal degrees,estimate,-74.1333,-74.1333,decimal degrees,estimate,Internet,2005-FEB-13,N,N,Y,N,N,N,N,N,N,Y,,,MALE,PUP/CALF
NE-2005-1043737,grypus,NE,United States,Brigantine,Atlantic,NJ,Atlantic Ocean,40th Street and the beach.,39.3883,39.3883,decimal degrees,estimate,-74.3883,-74.3883,decimal degrees,estimate,Internet,2005-FEB-07,N,Y,Y,N,N,N,N,N,N,N,,,FEMALE,PUP/CALF
NE-2005-1043739,grypus,NE,United States,Ocean City,Cape May,NJ,Atlantic Ocean,16th Street and the beach.,39.2692,39.2692,decimal degrees,estimate,-74.5836,-74.5836,decimal degrees,estimate,Internet,2005-FEB-08,N,Y,Y,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1043741,grypus,NE,United States,Sea Isle City,Cape May,NJ,Atlantic Ocean,47th Street and the beach.,39.1503,39.1503,decimal degrees,estimate,-74.6928,-74.6928,decimal degrees,estimate,Internet,2005-FEB-10,N,N,Y,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1044365,delphis,NE,United States,Union Beach,Monmouth,NJ,Raritan Bay,"""The Point"", corner of Dock and 1st Streets and the beach.",40.455,40.455,decimal degrees,estimate,-74.175,-74.175,decimal degrees,estimate,Internet,2005-FEB-20,N,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2005-1044379,vitulina,NE,United States,Atlantic City,Atlantic,NJ,Absecon Inlet,"Gardners Basin, on tip of Northwest seawall, going into Clam Creek.",39.3778,39.3778,decimal degrees,estimate,-74.4189,-74.4189,decimal degrees,estimate,Internet,2005-FEB-21,N,Y,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2005-1044381,groenlandica,NE,United States,Barnegat Light,Ocean,NJ,Atlantic Ocean,26th Street and the beach.,39.7425,39.7425,decimal degrees,estimate,-74.1125,-74.1125,decimal degrees,estimate,Internet,2005-FEB-22,N,N,N,Y,N,N,N,Y,N,N,,,MALE,YEARLING
NE-2005-1044383,vitulina,NE,United States,Margate,Atlantic,NJ,Atlantic Ocean,Essex Ave and the beach.,39.3281,39.3281,decimal degrees,estimate,-74.3875,-74.3875,decimal degrees,estimate,Internet,2005-FEB-23,Y,Y,N,N,N,N,N,N,N,N,,,FEMALE,YEARLING
NE-2005-1044385,groenlandica,NE,United States,Beach Haven Park LBI,Ocean,NJ,Atlantic Ocean,96th Street and the beach.,39.6014,39.6014,decimal degrees,estimate,-74.2069,-74.2069,decimal degrees,estimate,Internet,2005-FEB-23,N,N,N,Y,N,N,N,Y,N,N,,,MALE,YEARLING
NE-2005-1044387,groenlandica,NE,United States,Union Beach,Monmouth,NJ,Raritan Bay,Front Street and the beach.,40.4522,40.4522,decimal degrees,estimate,-74.1708,-74.1708,decimal degrees,estimate,Internet,2005-FEB-21,N,Y,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2005-1044389,groenlandica,NE,United States,Holgate LBI,Ocean,NJ,Atlantic Ocean,"Holgate Wildlife Refuge, several miles into the south end.",39.5108,39.5108,decimal degrees,estimate,-74.2839,-74.2839,decimal degrees,estimate,Internet,2005-FEB-17,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,UNKNOWN
